Type of crack,Crack length,a,b,t/b,Type of BCs,kx,ky,Omega
0,0.1,1,1,0.001,0,0,0,5.8673
0,0.1,1,1,0.001,0,0,0.5,3.2443
0,0.1,1,1,0.001,0,0,1,2.7955
0,0.1,1,1,0.001,0,0,5,2.4699
0,0.1,1,1,0.001,0,0,50,2.4656
0,0.1,1,1,0.001,0,0.5,0,4.1005
0,0.1,1,1,0.001,0,0.5,0.5,2.9657
0,0.1,1,1,0.001,0,0.5,1,2.6847
0,0.1,1,1,0.001,0,0.5,5,2.4684
0,0.1,1,1,0.001,0,0.5,50,2.4656
0,0.1,1,1,0.001,0,1,0,3.4805
0,0.1,1,1,0.001,0,1,0.5,2.8203
0,0.1,1,1,0.001,0,1,1,2.6261
0,0.1,1,1,0.001,0,1,5,2.4678
0,0.1,1,1,0.001,0,1,50,2.4656
0,0.1,1,1,0.001,0,5,0,2.6463
0,0.1,1,1,0.001,0,5,0.5,2.5508
0,0.1,1,1,0.001,0,5,1,2.5104
0,0.1,1,1,0.001,0,5,5,2.4665
0,0.1,1,1,0.001,0,5,50,2.4656
0,0.1,1,1,0.001,0,50,0,2.479
0,0.1,1,1,0.001,0,50,0.5,2.4733
0,0.1,1,1,0.001,0,50,1,2.4702
0,0.1,1,1,0.001,0,50,5,2.4657
0,0.1,1,1,0.001,0,50,50,2.4656
0,0.3,1,1,0.001,0,0,0,5.8229
0,0.3,1,1,0.001,0,0,0.5,3.2102
0,0.3,1,1,0.001,0,0,1,2.7668
0,0.3,1,1,0.001,0,0,5,2.4465
0,0.3,1,1,0.001,0,0,50,2.4423
0,0.3,1,1,0.001,0,0.5,0,4.0543
0,0.3,1,1,0.001,0,0.5,0.5,2.9331
0,0.3,1,1,0.001,0,0.5,1,2.6571
0,0.3,1,1,0.001,0,0.5,5,2.445
0,0.3,1,1,0.001,0,0.5,50,2.4423
0,0.3,1,1,0.001,0,1,0,3.439
0,0.3,1,1,0.001,0,1,0.5,2.7897
0,0.3,1,1,0.001,0,1,1,2.5995
0,0.3,1,1,0.001,0,1,5,2.4444
0,0.3,1,1,0.001,0,1,50,2.4423
0,0.3,1,1,0.001,0,5,0,2.6191
0,0.3,1,1,0.001,0,5,0.5,2.5257
0,0.3,1,1,0.001,0,5,1,2.4862
0,0.3,1,1,0.001,0,5,5,2.4431
0,0.3,1,1,0.001,0,5,50,2.4423
0,0.3,1,1,0.001,0,50,0,2.4554
0,0.3,1,1,0.001,0,50,0.5,2.4499
0,0.3,1,1,0.001,0,50,1,2.4468
0,0.3,1,1,0.001,0,50,5,2.4424
0,0.3,1,1,0.001,0,50,50,2.4423
0,0.5,1,1,0.001,0,0,0,5.6012
0,0.5,1,1,0.001,0,0,0.5,3.0488
0,0.5,1,1,0.001,0,0,1,2.6288
0,0.5,1,1,0.001,0,0,5,2.3307
0,0.5,1,1,0.001,0,0,50,2.3268
0,0.5,1,1,0.001,0,0.5,0,3.8612
0,0.5,1,1,0.001,0,0.5,0.5,2.7817
0,0.5,1,1,0.001,0,0.5,1,2.5242
0,0.5,1,1,0.001,0,0.5,5,2.3294
0,0.5,1,1,0.001,0,0.5,50,2.3268
0,0.5,1,1,0.001,0,1,0,3.2682
0,0.5,1,1,0.001,0,1,0.5,2.6474
0,0.5,1,1,0.001,0,1,1,2.4709
0,0.5,1,1,0.001,0,1,5,2.3288
0,0.5,1,1,0.001,0,1,50,2.3268
0,0.5,1,1,0.001,0,5,0,2.4919
0,0.5,1,1,0.001,0,5,0.5,2.4045
0,0.5,1,1,0.001,0,5,1,2.3677
0,0.5,1,1,0.001,0,5,5,2.3276
0,0.5,1,1,0.001,0,5,50,2.3268
0,0.5,1,1,0.001,0,50,0,2.3393
0,0.5,1,1,0.001,0,50,0.5,2.334
0,0.5,1,1,0.001,0,50,1,2.3311
0,0.5,1,1,0.001,0,50,5,2.3269
0,0.5,1,1,0.001,0,50,50,2.3268
0,0.7,1,1,0.001,0,0,0,5.2378
0,0.7,1,1,0.001,0,0,0.5,2.806
0,0.7,1,1,0.001,0,0,1,2.4179
0,0.7,1,1,0.001,0,0,5,2.1476
0,0.7,1,1,0.001,0,0,50,2.144
0,0.7,1,1,0.001,0,0.5,0,3.5955
0,0.7,1,1,0.001,0,0.5,0.5,2.5603
0,0.7,1,1,0.001,0,0.5,1,2.3222
0,0.7,1,1,0.001,0,0.5,5,2.1463
0,0.7,1,1,0.001,0,0.5,50,2.144
0,0.7,1,1,0.001,0,1,0,3.04
0,0.7,1,1,0.001,0,1,0.5,2.4387
0,0.7,1,1,0.001,0,1,1,2.2745
0,0.7,1,1,0.001,0,1,5,2.1458
0,0.7,1,1,0.001,0,1,50,2.144
0,0.7,1,1,0.001,0,5,0,2.3106
0,0.7,1,1,0.001,0,5,0.5,2.2196
0,0.7,1,1,0.001,0,5,1,2.1832
0,0.7,1,1,0.001,0,5,5,2.1448
0,0.7,1,1,0.001,0,5,50,2.144
0,0.7,1,1,0.001,0,50,0,2.1569
0,0.7,1,1,0.001,0,50,0.5,2.1513
